Benchmark,Arch1 (k6_N10) - Area,Arch2 (k6_frac_N10) - Area,Arch3 (k6_N5) - Area,Arch1 (k6_N10) - Fmax (MHz),Arch2 (k6_frac_N10) - Fmax (MHz),Arch3 (k6_N5) - Fmax (MHz),Arch1 (k6_N10) - CPD (ns),Arch2 (k6_frac_N10) - CPD (ns),Arch3 (k6_N5) - CPD (ns)
blob_merge.v,57465200.0,37718200.0,65545400.0,164.118,66.5759,152.08,6.09316,15.0205,6.57551
or1200.v,29231800.0,24628900.0,29567600.0,74.6101,109.13,63.9019,13.403,9.16335,15.649
mkDelayWorker32B.v,94305500.0,95605600.0,77617200.0,132.427,142.092,134.704,7.55135,7.03771,7.4237
raygentop.v,17338170.0,15148410.0,18700520.0,195.882,215.089,190.82,5.10512,4.64924,5.24054
mkSMAdapter4B.v,18216770.0,17725470.0,17146180.0,195.676,181.45,175.957,5.11049,5.51115,5.6832
sha.v,13976620.0,10027220.0,16926620.0,73.5945,93.7757,67.9897,13.588,10.6637,14.7081
spree.v,9054320.0,7715260.0,9861100.0,92.4521,93.6858,85.387,10.8164,10.674,11.7114
mkPktMerge.v,22455310.0,23638240.0,20381800.0,242.759,227.972,229.741,4.11931,4.38651,4.35273
boundtop.v,7268210.0,6640960.0,6497140.0,421.319,426.294,364.563,2.3735,2.3458,2.74301
diffeq1.v,8576630.0,7648990.0,7938780.0,46.9146,59.7689,44.5966,21.3153,16.7311,22.4232
diffeq2.v,7552640.0,7163940.0,6968680.0,57.3134,77.6196,56.7102,17.4479,12.8833,17.6335
ch_intrinsics.v,6248570.0,6247070.0,4772610.0,562.576,561.876,504.687,1.77754,1.77975,1.98142
stereovision3.v,1027548.0,1333007.0,1272909.0,465.274,477.44091668656006,419.058,2.14927,2.0945,2.38631
Geometric Mean,13354773.55644641,12196560.9240745,13169160.752311353,155.25149192069892,159.37796475232236,143.98443147816107,6.4411617401475905,6.274390894760128,6.945197066255039
