arch	circuit	script_params	vtr_flow_elapsed_time	vtr_max_mem_stage	vtr_max_mem	error	odin_synth_time	max_odin_mem	parmys_synth_time	max_parmys_mem	abc_depth	abc_synth_time	abc_cec_time	abc_sec_time	max_abc_mem	ace_time	max_ace_mem	num_clb	num_io	num_memories	num_mult	vpr_status	vpr_revision	vpr_build_info	vpr_compiler	vpr_compiled	hostname	rundir	max_vpr_mem	num_primary_inputs	num_primary_outputs	num_pre_packed_nets	num_pre_packed_blocks	num_netlist_clocks	num_post_packed_nets	num_post_packed_blocks	device_width	device_height	device_grid_tiles	device_limiting_resources	device_name	pack_mem	pack_time	placed_wirelength_est	total_swap	accepted_swap	rejected_swap	aborted_swap	place_mem	place_time	place_quench_time	placed_CPD_est	placed_setup_TNS_est	placed_setup_WNS_est	placed_geomean_nonvirtual_intradomain_critical_path_delay_est	place_delay_matrix_lookup_time	place_quench_timing_analysis_time	place_quench_sta_time	place_total_timing_analysis_time	place_total_sta_time	min_chan_width	routed_wirelength	min_chan_width_route_success_iteration	logic_block_area_total	logic_block_area_used	min_chan_width_routing_area_total	min_chan_width_routing_area_per_tile	min_chan_width_route_time	min_chan_width_total_timing_analysis_time	min_chan_width_total_sta_time	crit_path_num_rr_graph_nodes	crit_path_num_rr_graph_edges	crit_path_collapsed_nodes	crit_path_routed_wirelength	crit_path_route_success_iteration	crit_path_total_nets_routed	crit_path_total_connections_routed	crit_path_total_heap_pushes	crit_path_total_heap_pops	critical_path_delay	geomean_nonvirtual_intradomain_critical_path_delay	setup_TNS	setup_WNS	hold_TNS	hold_WNS	crit_path_routing_area_total	crit_path_routing_area_per_tile	router_lookahead_computation_time	crit_path_route_time	crit_path_create_rr_graph_time	crit_path_create_intra_cluster_rr_graph_time	crit_path_tile_lookahead_computation_time	crit_path_router_lookahead_computation_time	crit_path_total_timing_analysis_time	crit_path_total_sta_time	
k6_N10_mem32K_40nm.xml	blob_merge.v	common	46.62	parmys	288.93 MiB		-1	-1	11.04	295864	7	11.24	-1	-1	61096	-1	-1	716	36	0	0	success	v8.0.0-9695-g109c5adcc	release IPO VTR_ASSERT_LEVEL=2	GNU 11.2.0 on Linux-4.18.0-348.el8.0.2.x86_64 x86_64	2024-02-23T09:38:13	sc110	/home/yliu1047/RC/lab3/part1	205120	36	100	6840	6940	1	3421	852	34	34	1156	clb	auto	85.2 MiB	1.61	51883	372256	111649	238581	22026	200.3 MiB	4.65	0.05	5.56878	-2170.67	-5.56878	5.56878	0.30	0.0132266	0.0115159	1.36986	1.19969	-1	66877	20	6.50233e+07	3.85883e+07	1.88769e+07	16329.5	1.90	2.16367	1.90816	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
k6_N10_mem32K_40nm.xml	blob_merge.v	common_--reorder_rr_graph_nodes_algorithm_random_shuffle	47.80	parmys	288.49 MiB		-1	-1	11.42	295416	7	11.43	-1	-1	61096	-1	-1	716	36	0	0	success	v8.0.0-9695-g109c5adcc	release IPO VTR_ASSERT_LEVEL=2	GNU 11.2.0 on Linux-4.18.0-348.el8.0.2.x86_64 x86_64	2024-02-23T09:38:13	sc110	/home/yliu1047/RC/lab3/part1	205120	36	100	6840	6940	1	3421	852	34	34	1156	clb	auto	85.2 MiB	1.64	51883	372256	111649	238581	22026	200.3 MiB	4.51	0.04	5.56878	-2170.67	-5.56878	5.56878	0.28	0.0111947	0.00970896	1.28397	1.12143	-1	66877	20	6.50233e+07	3.85883e+07	1.88769e+07	16329.5	1.77	2.0398	1.79828	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
k6_N10_mem32K_40nm.xml	or1200.v	common	23.78	vpr	131.24 MiB		-1	-1	3.76	68840	27	3.79	-1	-1	44612	-1	-1	298	385	2	1	success	v8.0.0-9695-g109c5adcc	release IPO VTR_ASSERT_LEVEL=2	GNU 11.2.0 on Linux-4.18.0-348.el8.0.2.x86_64 x86_64	2024-02-23T09:38:13	sc110	/home/yliu1047/RC/lab3/part1	134388	385	394	3884	4215	1	2363	1080	27	27	729	io	auto	55.7 MiB	0.99	32346	604831	219280	360250	25301	131.2 MiB	3.35	0.04	12.7316	-12093.6	-12.7316	12.7316	0.16	0.00892854	0.00827603	0.902416	0.824279	-1	42274	37	3.93038e+07	1.75524e+07	1.16794e+07	16021.1	2.23	1.60246	1.46885	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
k6_N10_mem32K_40nm.xml	or1200.v	common_--reorder_rr_graph_nodes_algorithm_random_shuffle	24.85	vpr	131.33 MiB		-1	-1	3.61	70128	27	3.83	-1	-1	44612	-1	-1	298	385	2	1	success	v8.0.0-9695-g109c5adcc	release IPO VTR_ASSERT_LEVEL=2	GNU 11.2.0 on Linux-4.18.0-348.el8.0.2.x86_64 x86_64	2024-02-23T09:38:13	sc110	/home/yliu1047/RC/lab3/part1	134484	385	394	3884	4215	1	2363	1080	27	27	729	io	auto	55.8 MiB	0.98	32346	604831	219280	360250	25301	131.3 MiB	3.56	0.04	12.7316	-12093.6	-12.7316	12.7316	0.17	0.0112732	0.0104643	1.10984	0.988725	-1	42274	37	3.93038e+07	1.75524e+07	1.16794e+07	16021.1	2.46	1.94382	1.74123	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
k6_N10_mem32K_40nm.xml	mkDelayWorker32B.v	common	53.44	vpr	343.38 MiB		-1	-1	8.49	124764	5	3.06	-1	-1	59816	-1	-1	495	506	47	0	success	v8.0.0-9695-g109c5adcc	release IPO VTR_ASSERT_LEVEL=2	GNU 11.2.0 on Linux-4.18.0-348.el8.0.2.x86_64 x86_64	2024-02-23T09:38:13	sc110	/home/yliu1047/RC/lab3/part1	351624	506	553	3055	3608	1	2783	1601	50	50	2500	memory	auto	53.6 MiB	1.99	15314	1190575	574330	423211	193034	343.4 MiB	3.12	0.04	7.13238	-1827.92	-7.13238	7.13238	0.81	0.00948678	0.00870193	1.31907	1.20065	-1	20647	13	1.47946e+08	5.24342e+07	4.18713e+07	16748.5	3.59	1.73667	1.59728	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
k6_N10_mem32K_40nm.xml	mkDelayWorker32B.v	common_--reorder_rr_graph_nodes_algorithm_random_shuffle	52.61	vpr	343.12 MiB		-1	-1	8.36	126228	5	3.14	-1	-1	59816	-1	-1	495	506	47	0	success	v8.0.0-9695-g109c5adcc	release IPO VTR_ASSERT_LEVEL=2	GNU 11.2.0 on Linux-4.18.0-348.el8.0.2.x86_64 x86_64	2024-02-23T09:38:13	sc110	/home/yliu1047/RC/lab3/part1	351360	506	553	3055	3608	1	2783	1601	50	50	2500	memory	auto	53.6 MiB	2.01	15314	1190575	574330	423211	193034	343.1 MiB	3.10	0.04	7.13238	-1827.92	-7.13238	7.13238	0.77	0.00977313	0.00886502	1.30837	1.19152	-1	20647	13	1.47946e+08	5.24342e+07	4.18713e+07	16748.5	3.53	1.73013	1.59218	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
k6_N10_mem32K_40nm.xml	raygentop.v	common	12.08	vpr	80.28 MiB		-1	-1	2.73	48260	8	1.00	-1	-1	40876	-1	-1	165	235	1	6	success	v8.0.0-9695-g109c5adcc	release IPO VTR_ASSERT_LEVEL=2	GNU 11.2.0 on Linux-4.18.0-348.el8.0.2.x86_64 x86_64	2024-02-23T09:38:13	sc110	/home/yliu1047/RC/lab3/part1	82208	235	305	2594	2755	1	1461	712	19	19	361	io	auto	42.6 MiB	0.57	11985	286732	95398	178485	12849	80.3 MiB	1.23	0.02	4.58767	-2572.37	-4.58767	4.58767	0.06	0.00401443	0.00365748	0.367357	0.332989	-1	17089	21	1.72706e+07	1.18165e+07	5.52167e+06	15295.5	1.36	0.5923	0.542984	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
k6_N10_mem32K_40nm.xml	raygentop.v	common_--reorder_rr_graph_nodes_algorithm_random_shuffle	12.29	vpr	80.30 MiB		-1	-1	2.68	48268	8	1.01	-1	-1	40876	-1	-1	165	235	1	6	success	v8.0.0-9695-g109c5adcc	release IPO VTR_ASSERT_LEVEL=2	GNU 11.2.0 on Linux-4.18.0-348.el8.0.2.x86_64 x86_64	2024-02-23T09:38:13	sc110	/home/yliu1047/RC/lab3/part1	82224	235	305	2594	2755	1	1461	712	19	19	361	io	auto	42.9 MiB	0.58	11985	286732	95398	178485	12849	80.3 MiB	1.17	0.02	4.58767	-2572.37	-4.58767	4.58767	0.06	0.00307545	0.00277349	0.308946	0.277735	-1	17089	21	1.72706e+07	1.18165e+07	5.52167e+06	15295.5	1.46	0.575873	0.519503	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
k6_N10_mem32K_40nm.xml	mkSMAdapter4B.v	common	13.35	vpr	82.10 MiB		-1	-1	3.94	57804	7	2.06	-1	-1	41112	-1	-1	173	193	5	0	success	v8.0.0-9695-g109c5adcc	release IPO VTR_ASSERT_LEVEL=2	GNU 11.2.0 on Linux-4.18.0-348.el8.0.2.x86_64 x86_64	2024-02-23T09:38:13	sc110	/home/yliu1047/RC/lab3/part1	84068	193	205	2152	2357	1	1192	576	20	20	400	memory	auto	40.6 MiB	0.50	9735	232891	79620	127831	25440	82.1 MiB	0.88	0.01	4.59772	-2704.5	-4.59772	4.59772	0.08	0.00229879	0.00199249	0.25789	0.225635	-1	13127	18	2.07112e+07	1.20637e+07	6.15307e+06	15382.7	0.44	0.444602	0.396885	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
k6_N10_mem32K_40nm.xml	mkSMAdapter4B.v	common_--reorder_rr_graph_nodes_algorithm_random_shuffle	13.60	vpr	82.09 MiB		-1	-1	3.88	57064	7	2.00	-1	-1	41112	-1	-1	173	193	5	0	success	v8.0.0-9695-g109c5adcc	release IPO VTR_ASSERT_LEVEL=2	GNU 11.2.0 on Linux-4.18.0-348.el8.0.2.x86_64 x86_64	2024-02-23T09:38:13	sc110	/home/yliu1047/RC/lab3/part1	84060	193	205	2152	2357	1	1192	576	20	20	400	memory	auto	40.6 MiB	0.50	9735	232891	79620	127831	25440	82.1 MiB	0.95	0.01	4.59772	-2704.5	-4.59772	4.59772	0.08	0.00230505	0.00200779	0.303489	0.267265	-1	13127	18	2.07112e+07	1.20637e+07	6.15307e+06	15382.7	0.47	0.503947	0.450107	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
