arch	circuit	script_params	vpr_status	total_wirelength	total_runtime	num_clb	min_chan_width	crit_path_delay	
k6_N10_mem32K_40nm.xml	blob_merge.v	common	success	66877	21.26	716	-1	-1	
k6_N10_mem32K_40nm.xml	blob_merge.v	common	success	66877	21.75	716	-1	-1	
k6_N10_mem32K_40nm.xml	or1200.v	common	success	42274	14.50	298	-1	-1	
k6_N10_mem32K_40nm.xml	or1200.v	common	success	42274	15.44	298	-1	-1	
k6_N10_mem32K_40nm.xml	mkDelayWorker32B.v	common	success	20647	38.93	495	-1	-1	
k6_N10_mem32K_40nm.xml	mkDelayWorker32B.v	common	success	20647	38.81	495	-1	-1	
k6_N10_mem32K_40nm.xml	raygentop.v	common	success	17089	6.97	165	-1	-1	
k6_N10_mem32K_40nm.xml	raygentop.v	common	success	17089	6.80	165	-1	-1	
k6_N10_mem32K_40nm.xml	mkSMAdapter4B.v	common	success	13127	5.88	173	-1	-1	
k6_N10_mem32K_40nm.xml	mkSMAdapter4B.v	common	success	13127	6.28	173	-1	-1	
k6_N10_mem32K_40nm.xml	sha.v	common	success	12772	5.00	168	-1	-1	
k6_N10_mem32K_40nm.xml	sha.v	common	success	12772	4.87	168	-1	-1	
k6_N10_mem32K_40nm.xml	spree.v	common	success	9303	3.43	77	-1	-1	
k6_N10_mem32K_40nm.xml	spree.v	common	success	9303	3.52	77	-1	-1	
k6_N10_mem32K_40nm.xml	mkPktMerge.v	common	success	11734	12.49	32	-1	-1	
k6_N10_mem32K_40nm.xml	mkPktMerge.v	common	success	11734	12.73	32	-1	-1	
k6_N10_mem32K_40nm.xml	boundtop.v	common	success	3650	2.65	63	-1	-1	
k6_N10_mem32K_40nm.xml	boundtop.v	common	success	3650	2.63	63	-1	-1	
k6_N10_mem32K_40nm.xml	diffeq1.v	common	success	7879	3.38	52	-1	-1	
k6_N10_mem32K_40nm.xml	diffeq1.v	common	success	7879	3.04	52	-1	-1	
k6_N10_mem32K_40nm.xml	diffeq2.v	common	success	6044	2.98	33	-1	-1	
k6_N10_mem32K_40nm.xml	diffeq2.v	common	success	6044	2.89	33	-1	-1	
k6_N10_mem32K_40nm.xml	ch_intrinsics.v	common	success	842	1.48	69	-1	-1	
k6_N10_mem32K_40nm.xml	ch_intrinsics.v	common	success	842	1.48	69	-1	-1	
k6_N10_mem32K_40nm.xml	stereovision3.v	common	success	160	0.49	12	-1	-1	
k6_N10_mem32K_40nm.xml	stereovision3.v	common	success	160	0.62	12	-1	-1	
k6_frac_N10_frac_chain_depop50_mem32K_40nm.xml	blob_merge.v	common	success	70758	27.54	457	-1	-1	
k6_frac_N10_frac_chain_depop50_mem32K_40nm.xml	blob_merge.v	common	success	70758	27.63	457	-1	-1	
k6_frac_N10_frac_chain_depop50_mem32K_40nm.xml	or1200.v	common	success	46897	15.82	205	-1	-1	
k6_frac_N10_frac_chain_depop50_mem32K_40nm.xml	or1200.v	common	success	46897	16.05	205	-1	-1	
k6_frac_N10_frac_chain_depop50_mem32K_40nm.xml	mkDelayWorker32B.v	common	success	22239	39.96	456	-1	-1	
k6_frac_N10_frac_chain_depop50_mem32K_40nm.xml	mkDelayWorker32B.v	common	success	22239	39.75	456	-1	-1	
k6_frac_N10_frac_chain_depop50_mem32K_40nm.xml	raygentop.v	common	success	20784	6.24	112	-1	-1	
k6_frac_N10_frac_chain_depop50_mem32K_40nm.xml	raygentop.v	common	success	20784	6.10	112	-1	-1	
k6_frac_N10_frac_chain_depop50_mem32K_40nm.xml	mkSMAdapter4B.v	common	success	16525	6.02	151	-1	-1	
k6_frac_N10_frac_chain_depop50_mem32K_40nm.xml	mkSMAdapter4B.v	common	success	16525	5.96	151	-1	-1	
k6_frac_N10_frac_chain_depop50_mem32K_40nm.xml	sha.v	common	success	13069	3.78	117	-1	-1	
k6_frac_N10_frac_chain_depop50_mem32K_40nm.xml	sha.v	common	success	13069	3.92	117	-1	-1	
k6_frac_N10_frac_chain_depop50_mem32K_40nm.xml	spree.v	common	success	10669	2.96	46	-1	-1	
k6_frac_N10_frac_chain_depop50_mem32K_40nm.xml	spree.v	common	success	10669	2.93	46	-1	-1	
k6_frac_N10_frac_chain_depop50_mem32K_40nm.xml	mkPktMerge.v	common	success	12215	8.27	27	-1	-1	
k6_frac_N10_frac_chain_depop50_mem32K_40nm.xml	mkPktMerge.v	common	success	12215	8.22	27	-1	-1	
k6_frac_N10_frac_chain_depop50_mem32K_40nm.xml	boundtop.v	common	success	5139	2.78	44	-1	-1	
k6_frac_N10_frac_chain_depop50_mem32K_40nm.xml	boundtop.v	common	success	5139	2.82	44	-1	-1	
k6_frac_N10_frac_chain_depop50_mem32K_40nm.xml	diffeq1.v	common	success	7482	2.84	27	-1	-1	
k6_frac_N10_frac_chain_depop50_mem32K_40nm.xml	diffeq1.v	common	success	7482	2.92	27	-1	-1	
k6_frac_N10_frac_chain_depop50_mem32K_40nm.xml	diffeq2.v	common	success	6478	2.83	18	-1	-1	
k6_frac_N10_frac_chain_depop50_mem32K_40nm.xml	diffeq2.v	common	success	6478	2.82	18	-1	-1	
k6_frac_N10_frac_chain_depop50_mem32K_40nm.xml	ch_intrinsics.v	common	success	893	1.52	65	-1	-1	
k6_frac_N10_frac_chain_depop50_mem32K_40nm.xml	ch_intrinsics.v	common	success	893	1.57	65	-1	-1	
k6_frac_N10_frac_chain_depop50_mem32K_40nm.xml	stereovision3.v	common	success	382	0.79	13	-1	-1	
k6_frac_N10_frac_chain_depop50_mem32K_40nm.xml	stereovision3.v	common	success	382	0.78	13	-1	-1	
k6_N5_I20_O5_mem32K_40nm.xml	blob_merge.v	common	success	102683	25.53	1359	-1	-1	
k6_N5_I20_O5_mem32K_40nm.xml	blob_merge.v	common	success	102683	24.92	1359	-1	-1	
k6_N5_I20_O5_mem32K_40nm.xml	or1200.v	common	success	50249	12.28	578	-1	-1	
