arch,benchmark,seed,min_w,low_stress_w,ls_total_routing_area,ls_critical_path_delay_ns,ls_total_wirelength
L1,clma,1,70,92,8131720.0,10.9566,52157
L1,clma,2,70,92,8131720.0,11.6985,50771
L1,clma,3,70,92,8131720.0,10.3989,53142
L1,elliptic,1,48,64,2253580.0,9.11564,14923
L1,elliptic,2,50,66,2332650.0,8.14931,14848
L1,elliptic,3,54,72,2510780.0,9.38395,15120
L1,ex1010,1,62,82,3927390.0,9.20941,27858
L1,ex1010,2,62,82,3927390.0,10.0801,27730
L1,ex1010,3,60,78,3757830.0,9.1413,27964
L1,frisc,1,66,86,3704110.0,9.03322,27539
L1,frisc,2,68,90,3864500.0,8.77995,27511
L1,frisc,3,70,92,3944700.0,8.7082,27008
L1,pdc,1,62,82,4343920.0,8.94374,27255
L1,pdc,2,58,76,4067030.0,9.84893,28162
L1,pdc,3,62,82,4343920.0,9.03444,28039
L1,s38417,1,32,42,2095320.0,5.47275,14591
L1,s38417,2,32,42,2095320.0,5.47894,14812
L1,s38417,3,32,42,2095320.0,6.69856,15196
L1,s38584.1,1,42,56,3665780.0,5.56429,21301
L1,s38584.1,2,40,52,3406850.0,6.45906,20572
L1,s38584.1,3,40,52,3406850.0,6.78871,20515
L1,spla,1,56,74,3234640.0,7.60108,22217
L1,spla,2,56,74,3234640.0,8.06076,22615
L1,spla,3,54,72,3162220.0,8.08817,22355
L16,clma,1,,,,,
L16,clma,2,248,324,8947160.0,14.3702,141246
L16,clma,3,196,256,7352440.0,14.25,152219
L16,elliptic,1,218,284,3183770.0,9.20608,37067
L16,elliptic,2,172,224,2598330.0,10.195,35875
L16,elliptic,3,160,208,2438110.0,10.7494,36791
L16,ex1010,1,202,264,4133850.0,9.33306,62828
L16,ex1010,2,188,246,3895080.0,9.97453,65127
L16,ex1010,3,176,230,3660880.0,9.10096,63332
L16,frisc,1,202,264,3733570.0,13.1097,62160
L16,frisc,2,,,,,
L16,frisc,3,230,300,4172730.0,12.4676,62300
L16,pdc,1,,,,,
L16,pdc,2,182,238,4148670.0,9.46148,69068
L16,pdc,3,222,290,4946720.0,8.79186,66134
L16,s38417,1,174,228,3633040.0,7.93977,42294
L16,s38417,2,152,198,3217320.0,7.57093,41266
L16,s38417,3,150,196,3194280.0,7.69124,41136
L16,s38584.1,1,202,264,5455630.0,8.59175,64218
L16,s38584.1,2,150,196,4218500.0,8.11149,66786
L16,s38584.1,3,184,240,5006410.0,9.1249,65323
L16,spla,1,178,232,3329030.0,8.05719,48654
L16,spla,2,248,324,4453250.0,8.27142,47542
L16,spla,3,194,254,3633010.0,8.17434,48551
L4,clma,1,80,104,5029820.0,8.19553,69672
L4,clma,2,84,110,5299580.0,8.16996,71680
L4,clma,3,80,104,5029820.0,8.16232,69228
L4,elliptic,1,58,76,1511410.0,7.60582,22641
L4,elliptic,2,62,82,1602000.0,7.90868,21077
L4,elliptic,3,64,84,1639620.0,7.4576,21289
L4,ex1010,1,82,108,2833990.0,6.49292,36281
L4,ex1010,2,78,102,2698660.0,6.51618,34496
L4,ex1010,3,80,104,2739030.0,6.52955,34064
L4,frisc,1,80,104,2468110.0,8.26736,35268
L4,frisc,2,88,116,2730100.0,8.54968,34195
L4,frisc,3,78,102,2431750.0,9.12832,36072
L4,pdc,1,66,86,2581880.0,6.37615,36752
L4,pdc,2,66,86,2581880.0,7.41777,37866
L4,pdc,3,66,86,2581880.0,6.86015,37538
L4,s38417,1,46,60,1713390.0,4.97694,21130
L4,s38417,2,40,52,1476710.0,5.02,20573
L4,s38417,3,44,58,1654040.0,5.09587,19503
L4,s38584.1,1,52,68,2581440.0,5.27343,29846
L4,s38584.1,2,50,66,2519950.0,4.96459,29111
L4,s38584.1,3,50,66,2519950.0,4.94344,29833
L4,spla,1,62,82,2008770.0,6.20153,28202
L4,spla,2,70,92,2235350.0,5.83416,27963
L4,spla,3,62,82,2008770.0,5.96075,28941
