arch,benchmark,avg_min_w,avg_routing_area,avg_critical_path_delay_ns,avg_wirelength
fc0.15,clma,80.7,5312190,8.0814,70670
fc0.15,elliptic,59.3,1602670,7.4669,21165
fc0.15,ex1010,71.3,2623547,6.4599,35431
fc0.15,frisc,78.0,2529773,8.6521,35405
fc0.15,pdc,64.7,2639920,6.5091,37472
fc0.15,s38417,42.0,1641797,4.9963,19617
fc0.15,s38584.1,51.3,2648750,5.1775,29465
fc0.15,spla,62.0,2089780,6.0197,28606
fc0.15,GEOMEAN,62.4,2463301,6.5574,32224
fc0.5,clma,73.3,7133660,8.7934,63475
fc0.5,elliptic,52.7,2137007,7.9935,18667
fc0.5,ex1010,62.7,3406873,6.9855,32265
fc0.5,frisc,70.0,3371150,9.1241,31783
fc0.5,pdc,57.3,3513687,7.1780,33505
fc0.5,s38417,37.3,2243917,5.5343,18976
fc0.5,s38584.1,44.7,3405873,5.3854,27236
fc0.5,spla,56.7,2841217,6.6686,25604
fc0.5,GEOMEAN,55.6,3278834,7.0909,29270
fc1.0,clma,72.7,9487180,9.8247,63285
fc1.0,elliptic,50.7,2746973,8.9453,18766
fc1.0,ex1010,64.0,4609080,8.1733,31771
fc1.0,frisc,72.0,4598650,9.9389,31325
fc1.0,pdc,58.7,4721393,8.0687,32476
fc1.0,s38417,37.3,2998120,5.9277,18516
fc1.0,s38584.1,44.0,4517290,6.2143,27057
fc1.0,spla,56.0,3740500,7.7557,25812
fc1.0,GEOMEAN,55.6,4366368,7.9807,28972
