seed,T,cost
1,0.00037,58.5
1,0.00035,55.11
1,0.00033,53.13
1,0.00031,51.92
1,0.0003,51.3
1,0.00028,50.62
1,0.00027,49.74
1,0.00026,49.09
1,0.00024,48.54
1,0.00023,47.9
1,0.00022,47.49
1,0.00021,47.27
1,0.0002,47.11
1,0.00019,47.01
1,0.00018,46.92
1,0.00017,46.81
1,0.00016,46.67
1,0.00015,46.59
1,0.00015,46.54
1,0.00014,46.55
1,0.00013,46.53
1,0.00011,46.49
1,8.4e-05,46.48
1,8e-05,46.44
1,6.4e-05,46.43
1,6.1e-05,46.43
1,4.9e-05,46.42
1,4.6e-05,46.42
1,3.7e-05,46.42
1,3e-05,46.42
1,2.4e-05,46.42
1,1.9e-05,46.42
1,1.5e-05,46.42
1,1.2e-05,46.41
1,9.7e-06,46.41
1,0.0,46.41
2,0.00044,59.18
2,0.00042,54.69
2,0.0004,52.32
2,0.00038,51.34
2,0.00036,50.48
2,0.00034,49.52
2,0.00032,48.99
2,0.00031,48.46
2,0.00029,47.97
2,0.00028,47.48
2,0.00026,46.75
2,0.00025,46.53
2,0.00024,46.48
2,0.00023,46.34
2,0.00022,46.23
2,0.0002,46.07
2,0.00019,45.94
2,0.00018,45.93
2,0.00018,45.87
2,0.00017,45.81
2,0.00013,45.8
2,0.00011,45.8
2,8.5e-05,45.79
2,6.8e-05,45.78
2,5.5e-05,45.75
2,4.4e-05,45.74
2,3.5e-05,45.75
2,3.3e-05,45.75
2,2.7e-05,45.74
2,2.1e-05,45.74
2,1.7e-05,45.73
2,1.4e-05,45.73
2,1.1e-05,45.73
2,0.0,45.73
3,0.00069,57.97
3,0.00065,53.97
3,0.00062,52.68
3,0.00059,51.34
3,0.00056,49.92
3,0.00053,49.24
3,0.0005,48.27
3,0.00048,47.96
3,0.00045,47.1
3,0.00043,46.65
3,0.00041,46.28
3,0.00039,45.96
3,0.00037,45.57
3,0.00035,45.41
3,0.00033,45.28
3,0.00032,45.21
3,0.0003,45.11
3,0.00029,45.08
3,0.00027,44.98
3,0.00026,44.79
3,0.00025,44.69
3,0.00023,44.7
3,0.00022,44.49
3,0.00021,44.35
3,0.00017,44.35
3,0.00016,44.24
3,0.00015,44.21
3,0.00012,44.18
3,9.7e-05,44.18
3,7.8e-05,44.15
3,6.2e-05,44.12
3,5.9e-05,44.12
3,5.6e-05,44.12
3,4.5e-05,44.11
3,3.6e-05,44.1
3,3.4e-05,44.08
3,2.7e-05,44.08
3,2.2e-05,44.06
3,1.8e-05,44.06
3,1.4e-05,44.06
3,1.3e-05,44.04
3,1.1e-05,44.04
3,0.0,44.04
