seed,T,cost
1,0.00092,72.58
1,0.00087,68.46
1,0.00083,66.62
1,0.00079,65.02
1,0.00075,64.1
1,0.00071,62.86
1,0.00067,62.53
1,0.00064,61.9
1,0.00061,61.03
1,0.00058,60.9
1,0.00055,60.49
1,0.00052,59.88
1,0.0005,59.64
1,0.00047,59.63
1,0.00045,58.76
1,0.00042,58.0
1,0.0004,57.66
1,0.00038,57.45
1,0.00036,57.53
1,0.00035,57.1
1,0.00033,56.7
1,0.00031,56.29
1,0.0003,56.1
1,0.00028,55.5
1,0.00027,55.49
1,0.00025,54.94
1,0.00024,54.77
1,0.00023,54.61
1,0.00022,54.53
1,0.00021,54.04
1,0.0002,53.72
1,0.00019,53.69
1,0.00018,53.48
1,0.00017,53.23
1,0.00016,53.07
1,0.00015,53.07
1,0.00014,52.93
1,0.00014,52.76
1,0.00013,52.6
1,0.00012,52.44
1,0.00012,52.25
1,0.00011,52.25
1,0.00011,52.18
1,0.0001,52.06
1,9.6e-05,51.89
1,9.1e-05,51.74
1,8.7e-05,51.65
1,8.2e-05,51.59
1,7.8e-05,51.54
1,7.4e-05,51.48
1,7.1e-05,51.43
1,6.7e-05,51.39
1,6.4e-05,51.31
1,6.1e-05,51.24
1,5.7e-05,51.21
1,5.5e-05,51.11
1,5.2e-05,51.04
1,4.9e-05,50.94
1,4.7e-05,50.91
1,4.4e-05,50.91
1,4.2e-05,50.88
1,4e-05,50.85
1,3.8e-05,50.82
1,3.6e-05,50.78
1,3.4e-05,50.76
1,3.3e-05,50.75
1,3.1e-05,50.73
1,3e-05,50.72
1,2.8e-05,50.72
1,2.7e-05,50.72
1,2.5e-05,50.72
1,2.4e-05,50.71
1,2.3e-05,50.72
1,2.2e-05,50.71
1,2.1e-05,50.71
1,2e-05,50.7
1,1.9e-05,50.71
1,1.8e-05,50.7
1,1.7e-05,50.69
1,1.6e-05,50.69
1,1.5e-05,50.7
1,1.4e-05,50.7
1,1.4e-05,50.69
1,1.3e-05,50.68
1,1.2e-05,50.68
1,1.2e-05,50.68
1,1.1e-05,50.68
1,1.1e-05,50.68
1,1e-05,50.68
1,9.5e-06,50.68
1,9.1e-06,50.68
1,8.6e-06,50.68
1,8.2e-06,50.68
1,7.8e-06,50.68
1,7.4e-06,50.67
1,0.0,50.67
2,0.00057,74.89
2,0.00054,70.78
2,0.00051,68.32
2,0.00049,66.05
2,0.00046,64.73
2,0.00044,63.61
2,0.00042,62.5
2,0.0004,61.89
2,0.00038,61.2
2,0.00036,60.86
2,0.00034,59.95
2,0.00032,59.28
2,0.00031,58.79
2,0.00029,58.62
2,0.00028,58.23
2,0.00026,57.93
2,0.00025,57.9
2,0.00024,57.69
2,0.00022,57.05
2,0.00021,56.68
2,0.0002,56.36
2,0.00019,56.29
2,0.00018,56.11
2,0.00017,55.77
2,0.00017,55.55
2,0.00016,55.42
2,0.00015,55.13
2,0.00014,54.88
2,0.00013,54.55
2,0.00013,54.22
2,0.00012,54.13
2,0.00012,54.07
2,0.00011,53.89
2,0.0001,53.78
2,9.9e-05,53.65
2,9.4e-05,53.55
2,8.9e-05,53.47
2,8.5e-05,53.4
2,8.1e-05,53.28
2,7.7e-05,53.24
2,7.3e-05,53.16
2,6.9e-05,53.08
2,6.6e-05,52.99
2,6.2e-05,52.96
2,5.9e-05,52.92
2,5.6e-05,52.86
2,5.3e-05,52.82
2,5.1e-05,52.8
2,4.8e-05,52.77
2,4.6e-05,52.73
2,4.4e-05,52.67
2,4.1e-05,52.66
2,3.9e-05,52.66
2,3.7e-05,52.67
2,3.5e-05,52.66
2,3.4e-05,52.66
2,3.2e-05,52.65
2,3e-05,52.64
2,2.9e-05,52.62
2,2.7e-05,52.61
2,2.6e-05,52.6
2,2.5e-05,52.6
2,2.4e-05,52.61
2,2.2e-05,52.6
2,2.1e-05,52.6
2,2e-05,52.6
2,1.9e-05,52.6
2,1.8e-05,52.6
2,1.7e-05,52.6
2,1.6e-05,52.6
2,1.6e-05,52.6
2,1.5e-05,52.6
2,1.4e-05,52.6
2,1.3e-05,52.6
2,1.3e-05,52.6
2,1.2e-05,52.6
2,1.1e-05,52.6
2,1.1e-05,52.6
2,1e-05,52.59
2,9.8e-06,52.58
2,9.3e-06,52.53
2,8.9e-06,52.47
2,8.4e-06,52.42
2,8e-06,52.41
2,7.6e-06,52.39
2,7.2e-06,52.39
2,0.0,52.39
3,0.00047,72.06
3,0.00045,65.93
3,0.00043,63.3
3,0.00041,62.41
3,0.00039,61.87
3,0.00037,61.68
3,0.00035,61.03
3,0.00033,60.89
3,0.00031,60.78
3,0.0003,60.41
3,0.00028,59.82
3,0.00027,59.6
3,0.00026,59.16
3,0.00024,58.82
3,0.00023,58.73
3,0.00022,58.63
3,0.00021,58.39
3,0.0002,58.1
3,0.00019,57.78
3,0.00018,57.73
3,0.00017,57.33
3,0.00016,56.91
3,0.00015,56.54
3,0.00015,56.45
3,0.00014,56.29
3,0.00013,56.3
3,0.00012,56.13
3,0.00012,55.71
3,0.00011,55.52
3,0.00011,55.36
3,0.0001,55.24
3,9.7e-05,55.15
3,9.2e-05,55.02
3,8.7e-05,54.84
3,8.3e-05,54.7
3,7.9e-05,54.54
3,7.5e-05,54.45
3,7.1e-05,54.32
3,6.8e-05,54.13
3,6.4e-05,54.07
3,6.1e-05,53.98
3,5.8e-05,53.94
3,5.5e-05,53.92
3,5.2e-05,53.91
3,5e-05,53.88
3,4.7e-05,53.8
3,4.5e-05,53.79
3,4.3e-05,53.8
3,4e-05,53.79
3,3.8e-05,53.77
3,3.6e-05,53.75
3,3.5e-05,53.71
3,3.3e-05,53.69
3,3.1e-05,53.68
3,3e-05,53.68
3,2.8e-05,53.68
3,2.7e-05,53.67
3,2.5e-05,53.67
3,2.4e-05,53.66
3,2.3e-05,53.63
3,2.2e-05,53.61
3,2.1e-05,53.6
3,2e-05,53.58
3,1.9e-05,53.56
3,1.8e-05,53.56
3,1.7e-05,53.56
3,1.6e-05,53.56
3,1.5e-05,53.56
3,1.4e-05,53.56
3,1.4e-05,53.56
3,1.3e-05,53.56
3,1.2e-05,53.55
3,1.2e-05,53.55
3,1.1e-05,53.55
3,1.1e-05,53.55
3,1e-05,53.55
3,9.6e-06,53.55
3,9.1e-06,53.55
3,8.7e-06,53.55
3,8.2e-06,53.55
3,7.8e-06,53.55
3,7.4e-06,53.55
3,0.0,53.55
