seed,T,cost
1,0.00055,10.37
1,0.00052,9.47
1,0.0005,9.02
1,0.00047,8.75
1,0.00045,8.58
1,0.00043,8.48
1,0.0004,8.38
1,0.00038,8.29
1,0.00037,8.18
1,0.00035,8.14
1,0.00033,8.05
1,0.00031,8.02
1,0.0003,8.0
1,0.00028,8.0
1,0.00027,8.0
1,0.00026,7.99
1,0.00024,7.96
1,0.00023,7.96
1,0.00022,7.96
1,0.00021,7.96
1,0.0002,7.96
1,0.00019,7.96
1,0.00018,7.97
1,0.00017,7.97
1,0.00016,7.97
1,0.00015,7.97
1,0.00015,7.97
1,0.00014,7.97
1,0.00013,7.96
1,0.00012,7.96
1,0.00012,7.96
1,0.00011,7.96
1,0.00011,7.95
1,0.0001,7.95
1,9.6e-05,7.95
1,9.1e-05,7.93
1,8.7e-05,7.93
1,8.3e-05,7.93
1,7.8e-05,7.93
1,7.4e-05,7.93
1,7.1e-05,7.93
1,6.7e-05,7.93
1,6.4e-05,7.92
1,6.1e-05,7.92
1,5.8e-05,7.92
1,5.5e-05,7.91
1,5.2e-05,7.91
1,4.9e-05,7.91
1,4.7e-05,7.91
1,4.5e-05,7.91
1,4.2e-05,7.91
1,4e-05,7.91
1,3.8e-05,7.91
1,3.6e-05,7.91
1,3.5e-05,7.91
1,3.3e-05,7.91
1,3.1e-05,7.91
1,3e-05,7.91
1,2.8e-05,7.91
1,0.0,7.91
2,0.0006,11.88
2,0.00057,10.53
2,0.00054,9.95
2,0.00051,9.59
2,0.00049,9.17
2,0.00046,8.45
2,0.00044,8.23
2,0.00042,8.1
2,0.0004,8.01
2,0.00038,7.93
2,0.00036,7.86
2,0.00034,7.82
2,0.00032,7.79
2,0.00031,7.75
2,0.00029,7.75
2,0.00028,7.75
2,0.00026,7.76
2,0.00025,7.74
2,0.00024,7.74
2,0.00023,7.75
2,0.00022,7.75
2,0.0002,7.75
2,0.00019,7.75
2,0.00018,7.74
2,0.00018,7.74
2,0.00017,7.74
2,0.00016,7.74
2,0.00015,7.74
2,0.00014,7.74
2,0.00014,7.73
2,0.00013,7.73
2,0.00012,7.73
2,0.00012,7.73
2,0.00011,7.73
2,0.0001,7.73
2,0.0001,7.73
2,9.5e-05,7.73
2,9e-05,7.73
2,8.6e-05,7.73
2,8.1e-05,7.72
2,7.7e-05,7.72
2,7.3e-05,7.72
2,7e-05,7.72
2,6.6e-05,7.72
2,6.3e-05,7.72
2,6e-05,7.72
2,5.7e-05,7.72
2,5.4e-05,7.72
2,5.1e-05,7.72
2,4.9e-05,7.72
2,4.6e-05,7.72
2,4.4e-05,7.72
2,4.2e-05,7.72
2,4e-05,7.72
2,3.8e-05,7.71
2,3.6e-05,7.7
2,3.4e-05,7.7
2,3.2e-05,7.7
2,3.1e-05,7.7
2,2.9e-05,7.7
2,2.8e-05,7.7
2,0.0,7.7
3,0.00051,11.43
3,0.00048,9.98
3,0.00046,9.53
3,0.00044,9.16
3,0.00041,8.55
3,0.00039,8.17
3,0.00037,8.03
3,0.00036,7.92
3,0.00034,7.84
3,0.00032,7.84
3,0.0003,7.81
3,0.00029,7.78
3,0.00027,7.79
3,0.00026,7.78
3,0.00025,7.79
3,0.00024,7.76
3,0.00022,7.74
3,0.00021,7.72
3,0.0002,7.72
3,0.00019,7.72
3,0.00018,7.72
3,0.00017,7.72
3,0.00016,7.71
3,0.00016,7.71
3,0.00015,7.72
3,0.00014,7.72
3,0.00013,7.72
3,0.00013,7.72
3,0.00012,7.72
3,0.00011,7.72
3,0.00011,7.72
3,0.0001,7.72
3,9.9e-05,7.72
3,9.4e-05,7.72
3,8.9e-05,7.71
3,8.4e-05,7.71
3,8e-05,7.71
3,7.6e-05,7.71
3,7.2e-05,7.71
3,6.9e-05,7.71
3,6.5e-05,7.71
3,6.2e-05,7.71
3,5.9e-05,7.7
3,5.6e-05,7.7
3,5.3e-05,7.7
3,5.1e-05,7.69
3,4.8e-05,7.69
3,4.6e-05,7.69
3,4.3e-05,7.69
3,4.1e-05,7.69
3,3.9e-05,7.69
3,3.7e-05,7.69
3,3.5e-05,7.69
3,3.4e-05,7.69
3,3.2e-05,7.69
3,3e-05,7.69
3,2.9e-05,7.69
3,2.7e-05,7.69
3,0.0,7.69
