seed,T,cost
1,0.00043,144.82
1,0.00041,132.82
1,0.00038,124.21
1,0.00037,120.17
1,0.00035,116.59
1,0.00033,114.55
1,0.00031,112.65
1,0.0003,109.45
1,0.00028,107.16
1,0.00027,105.34
1,0.00026,103.88
1,0.00024,102.66
1,0.00023,101.61
1,0.00022,100.62
1,0.00021,100.11
1,0.0002,99.57
1,0.00019,99.02
1,0.00018,98.08
1,0.00017,97.65
1,0.00016,97.39
1,0.00015,96.61
1,0.00015,96.45
1,0.00014,96.09
1,0.00013,95.98
1,0.00012,95.76
1,0.00012,95.58
1,0.00011,95.27
1,0.00011,95.1
1,0.0001,94.93
1,9.6e-05,94.64
1,9.2e-05,94.51
1,8.7e-05,94.4
1,8.3e-05,94.34
1,7.8e-05,94.33
1,7.5e-05,94.26
1,7.1e-05,94.19
1,6.7e-05,94.17
1,5.4e-05,94.11
1,5.1e-05,94.02
1,4.1e-05,93.98
1,3.3e-05,93.92
1,2.6e-05,93.89
1,2.1e-05,93.86
1,1.7e-05,93.82
1,1.3e-05,93.78
1,1.1e-05,93.78
1,8.6e-06,93.77
1,6.9e-06,93.77
1,5.5e-06,93.76
1,0.0,93.76
2,0.00051,151.52
2,0.00048,136.35
2,0.00046,130.28
2,0.00044,126.29
2,0.00041,123.32
2,0.00039,120.65
2,0.00037,118.31
2,0.00035,115.78
2,0.00034,113.48
2,0.00032,110.87
2,0.0003,109.16
2,0.00029,108.09
2,0.00027,106.69
2,0.00026,105.46
2,0.00025,104.27
2,0.00024,103.0
2,0.00022,102.37
2,0.00021,102.27
2,0.0002,101.82
2,0.00019,100.99
2,0.00018,100.73
2,0.00017,100.6
2,0.00016,100.5
2,0.00016,100.29
2,0.00015,99.9
2,0.00014,99.45
2,0.00013,99.28
2,0.00013,99.14
2,0.00012,98.92
2,0.00011,98.7
2,0.00011,98.7
2,0.0001,98.43
2,9.8e-05,98.17
2,9.3e-05,98.05
2,8.9e-05,97.98
2,8.4e-05,97.71
2,8e-05,97.64
2,7.6e-05,97.57
2,7.2e-05,97.52
2,6.9e-05,97.47
2,6.5e-05,97.43
2,6.2e-05,97.4
2,5e-05,97.35
2,4e-05,97.26
2,3.2e-05,97.07
2,2.5e-05,97.01
2,2e-05,96.98
2,1.6e-05,96.93
2,1.3e-05,96.89
2,1e-05,96.89
2,8.3e-06,96.88
2,6.7e-06,96.88
2,5.3e-06,96.87
2,0.0,96.87
3,0.0005,146.99
3,0.00047,137.28
3,0.00045,131.51
3,0.00043,126.68
3,0.00041,121.54
3,0.00039,117.86
3,0.00037,114.36
3,0.00035,111.01
3,0.00033,109.08
3,0.00031,106.87
3,0.0003,105.08
3,0.00028,103.16
3,0.00027,101.55
3,0.00026,100.56
3,0.00024,99.25
3,0.00023,97.9
3,0.00022,96.68
3,0.00021,95.82
3,0.0002,95.06
3,0.00019,94.26
3,0.00018,93.11
3,0.00017,92.67
3,0.00016,92.24
3,0.00015,91.75
3,0.00015,91.46
3,0.00014,91.04
3,0.00013,90.1
3,0.00013,89.68
3,0.00012,89.39
3,0.00011,89.24
3,0.00011,88.9
3,0.0001,88.63
3,9.7e-05,88.35
3,9.2e-05,88.13
3,8.7e-05,88.03
3,8.3e-05,87.73
3,7.9e-05,87.57
3,7.5e-05,87.52
3,7.1e-05,87.45
3,5.7e-05,87.42
3,5.4e-05,87.36
3,4.3e-05,87.33
3,3.5e-05,87.24
3,2.8e-05,87.16
3,2.2e-05,87.11
3,1.8e-05,87.05
3,1.4e-05,87.04
3,1.1e-05,86.98
3,9.1e-06,86.97
3,7.3e-06,86.97
3,5.8e-06,86.96
3,0.0,86.93
