type,seed,T,cost
greedy,1,0.00036,58.76
greedy,1,0.00034,55.36
greedy,1,0.00032,54.1
greedy,1,0.00031,53.02
greedy,1,0.00029,52.0
greedy,1,0.00028,51.12
greedy,1,0.00026,50.15
greedy,1,0.00025,49.28
greedy,1,0.00024,48.67
greedy,1,0.00023,48.21
greedy,1,0.00022,47.77
greedy,1,0.00017,47.44
greedy,1,0.00014,47.2
greedy,1,0.00011,47.13
greedy,1,0.0001,46.92
greedy,1,8.4e-05,46.81
greedy,1,6.7e-05,46.75
greedy,1,5.4e-05,46.67
greedy,1,4.3e-05,46.56
greedy,1,3.4e-05,46.44
greedy,1,2.7e-05,46.42
greedy,1,2.2e-05,46.37
greedy,1,1.8e-05,46.31
greedy,1,1.4e-05,46.3
greedy,1,1.1e-05,46.3
greedy,1,0.0,46.3
greedy,2,0.00042,59.38
greedy,2,0.00039,55.09
greedy,2,0.00038,52.43
greedy,2,0.00036,50.6
greedy,2,0.00034,49.74
greedy,2,0.00032,48.56
greedy,2,0.00031,47.86
greedy,2,0.00029,46.76
greedy,2,0.00028,46.08
greedy,2,0.00026,45.59
greedy,2,0.00025,45.24
greedy,2,0.0002,45.19
greedy,2,0.00019,45.16
greedy,2,0.00015,45.13
greedy,2,0.00012,45.08
greedy,2,9.7e-05,45.03
greedy,2,7.7e-05,45.03
greedy,2,6.2e-05,45.03
greedy,2,5e-05,45.03
greedy,2,4e-05,45.03
greedy,2,3.2e-05,45.02
greedy,2,2.5e-05,45.02
greedy,2,2e-05,45.02
greedy,2,1.6e-05,45.02
greedy,2,1.3e-05,45.02
greedy,2,1e-05,45.02
greedy,2,0.0,45.02
greedy,3,0.00052,59.7
greedy,3,0.00049,55.72
greedy,3,0.00046,53.49
greedy,3,0.00044,51.71
greedy,3,0.00042,50.27
greedy,3,0.0004,49.25
greedy,3,0.00038,48.16
greedy,3,0.00036,47.34
greedy,3,0.00034,46.78
greedy,3,0.00032,46.16
greedy,3,0.00031,45.72
greedy,3,0.00029,45.56
greedy,3,0.00023,45.5
greedy,3,0.00019,45.48
greedy,3,0.00015,45.46
greedy,3,0.00012,45.42
greedy,3,9.6e-05,45.37
greedy,3,7.7e-05,45.27
greedy,3,6.1e-05,45.24
greedy,3,4.9e-05,45.24
greedy,3,3.9e-05,45.24
greedy,3,3.1e-05,45.22
greedy,3,2.5e-05,45.22
greedy,3,2e-05,45.22
greedy,3,1.6e-05,45.22
greedy,3,1.3e-05,45.22
greedy,3,1e-05,45.22
greedy,3,0.0,45.22
