type,seed,T,cost
normal,1,0.00037,58.5
normal,1,0.00035,55.11
normal,1,0.00033,53.13
normal,1,0.00031,51.92
normal,1,0.0003,51.3
normal,1,0.00028,50.62
normal,1,0.00027,49.74
normal,1,0.00026,49.09
normal,1,0.00024,48.54
normal,1,0.00023,47.9
normal,1,0.00022,47.49
normal,1,0.00021,47.27
normal,1,0.0002,47.11
normal,1,0.00019,47.01
normal,1,0.00018,46.92
normal,1,0.00017,46.81
normal,1,0.00016,46.67
normal,1,0.00015,46.59
normal,1,0.00015,46.54
normal,1,0.00014,46.55
normal,1,0.00013,46.53
normal,1,0.00011,46.49
normal,1,8.4e-05,46.48
normal,1,8e-05,46.44
normal,1,6.4e-05,46.43
normal,1,6.1e-05,46.43
normal,1,4.9e-05,46.42
normal,1,4.6e-05,46.42
normal,1,3.7e-05,46.42
normal,1,3e-05,46.42
normal,1,2.4e-05,46.42
normal,1,1.9e-05,46.42
normal,1,1.5e-05,46.42
normal,1,1.2e-05,46.41
normal,1,9.7e-06,46.41
normal,1,0.0,46.41
normal,2,0.00044,59.18
normal,2,0.00042,54.69
normal,2,0.0004,52.32
normal,2,0.00038,51.34
normal,2,0.00036,50.48
normal,2,0.00034,49.52
normal,2,0.00032,48.99
normal,2,0.00031,48.46
normal,2,0.00029,47.97
normal,2,0.00028,47.48
normal,2,0.00026,46.75
normal,2,0.00025,46.53
normal,2,0.00024,46.48
normal,2,0.00023,46.34
normal,2,0.00022,46.23
normal,2,0.0002,46.07
normal,2,0.00019,45.94
normal,2,0.00018,45.93
normal,2,0.00018,45.87
normal,2,0.00017,45.81
normal,2,0.00013,45.8
normal,2,0.00011,45.8
normal,2,8.5e-05,45.79
normal,2,6.8e-05,45.78
normal,2,5.5e-05,45.75
normal,2,4.4e-05,45.74
normal,2,3.5e-05,45.75
normal,2,3.3e-05,45.75
normal,2,2.7e-05,45.74
normal,2,2.1e-05,45.74
normal,2,1.7e-05,45.73
normal,2,1.4e-05,45.73
normal,2,1.1e-05,45.73
normal,2,0.0,45.73
normal,3,0.00069,57.97
normal,3,0.00065,53.97
normal,3,0.00062,52.68
normal,3,0.00059,51.34
normal,3,0.00056,49.92
normal,3,0.00053,49.24
normal,3,0.0005,48.27
normal,3,0.00048,47.96
normal,3,0.00045,47.1
normal,3,0.00043,46.65
normal,3,0.00041,46.28
normal,3,0.00039,45.96
normal,3,0.00037,45.57
normal,3,0.00035,45.41
normal,3,0.00033,45.28
normal,3,0.00032,45.21
normal,3,0.0003,45.11
normal,3,0.00029,45.08
normal,3,0.00027,44.98
normal,3,0.00026,44.79
normal,3,0.00025,44.69
normal,3,0.00023,44.7
normal,3,0.00022,44.49
normal,3,0.00021,44.35
normal,3,0.00017,44.35
normal,3,0.00016,44.24
normal,3,0.00015,44.21
normal,3,0.00012,44.18
normal,3,9.7e-05,44.18
normal,3,7.8e-05,44.15
normal,3,6.2e-05,44.12
normal,3,5.9e-05,44.12
normal,3,5.6e-05,44.12
normal,3,4.5e-05,44.11
normal,3,3.6e-05,44.1
normal,3,3.4e-05,44.08
normal,3,2.7e-05,44.08
normal,3,2.2e-05,44.06
normal,3,1.8e-05,44.06
normal,3,1.4e-05,44.06
normal,3,1.3e-05,44.04
normal,3,1.1e-05,44.04
normal,3,0.0,44.04
