type,seed,T,cost
greedy,1,0.0006,71.23
greedy,1,0.00057,63.54
greedy,1,0.00054,60.21
greedy,1,0.00051,58.73
greedy,1,0.00049,57.83
greedy,1,0.00046,56.64
greedy,1,0.00044,55.75
greedy,1,0.00042,54.91
greedy,1,0.0004,54.19
greedy,1,0.00038,53.59
greedy,1,0.00036,53.13
greedy,1,0.00034,52.64
greedy,1,0.00032,52.19
greedy,1,0.00031,51.95
greedy,1,0.00029,51.85
greedy,1,0.00028,51.75
greedy,1,0.00026,51.7
greedy,1,0.00025,51.68
greedy,1,0.00024,51.66
greedy,1,0.00023,51.61
greedy,1,0.00021,51.58
greedy,1,0.0002,51.54
greedy,1,0.00019,51.52
greedy,1,0.00018,51.52
greedy,1,0.00017,51.52
greedy,1,0.00017,51.52
greedy,1,0.00016,51.51
greedy,1,0.00015,51.5
greedy,1,0.00014,51.48
greedy,1,0.00013,51.45
greedy,1,0.00013,51.45
greedy,1,0.00012,51.44
greedy,1,0.00012,51.43
greedy,1,0.00011,51.42
greedy,1,0.0001,51.42
greedy,1,9.9e-05,51.42
greedy,1,9.4e-05,51.41
greedy,1,8.9e-05,51.41
greedy,1,8.5e-05,51.39
greedy,1,8.1e-05,51.36
greedy,1,7.7e-05,51.33
greedy,1,7.3e-05,51.3
greedy,1,6.9e-05,51.29
greedy,1,6.6e-05,51.28
greedy,1,6.2e-05,51.26
greedy,1,5.9e-05,51.23
greedy,1,5.6e-05,51.22
greedy,1,5.4e-05,51.2
greedy,1,5.1e-05,51.2
greedy,1,4.8e-05,51.2
greedy,1,4.6e-05,51.2
greedy,1,4.4e-05,51.2
greedy,1,4.1e-05,51.2
greedy,1,3.9e-05,51.2
greedy,1,3.7e-05,51.19
greedy,1,3.6e-05,51.19
greedy,1,3.4e-05,51.19
greedy,1,3.2e-05,51.19
greedy,1,3e-05,51.19
greedy,1,2.9e-05,51.19
greedy,1,2.7e-05,51.19
greedy,1,2.6e-05,51.19
greedy,1,2.5e-05,51.19
greedy,1,2.4e-05,51.19
greedy,1,2.2e-05,51.19
greedy,1,2.1e-05,51.19
greedy,1,2e-05,51.19
greedy,1,1.9e-05,51.19
greedy,1,1.8e-05,51.19
greedy,1,1.7e-05,51.19
greedy,1,1.6e-05,51.19
greedy,1,1.6e-05,51.19
greedy,1,1.5e-05,51.19
greedy,1,1.4e-05,51.19
greedy,1,1.3e-05,51.19
greedy,1,1.3e-05,51.19
greedy,1,1.2e-05,51.19
greedy,1,1.1e-05,51.19
greedy,1,1.1e-05,51.19
greedy,1,1e-05,51.19
greedy,1,9.9e-06,51.19
greedy,1,9.4e-06,51.19
greedy,1,8.9e-06,51.19
greedy,1,8.5e-06,51.19
greedy,1,8e-06,51.18
greedy,1,7.6e-06,51.17
greedy,1,7.2e-06,51.16
greedy,1,0.0,51.16
greedy,2,0.0005,71.5
greedy,2,0.00047,65.09
greedy,2,0.00045,62.27
greedy,2,0.00043,60.13
greedy,2,0.00041,58.99
greedy,2,0.00039,57.74
greedy,2,0.00037,56.84
greedy,2,0.00035,55.48
greedy,2,0.00033,54.79
greedy,2,0.00031,54.08
greedy,2,0.0003,53.63
greedy,2,0.00028,53.19
greedy,2,0.00027,52.89
greedy,2,0.00026,52.71
greedy,2,0.00024,52.6
greedy,2,0.00023,52.45
greedy,2,0.00022,52.39
greedy,2,0.00021,52.36
greedy,2,0.0002,52.34
greedy,2,0.00019,52.3
greedy,2,0.00018,52.21
greedy,2,0.00017,52.18
greedy,2,0.00016,52.18
greedy,2,0.00015,52.08
greedy,2,0.00015,52.03
greedy,2,0.00014,52.02
greedy,2,0.00013,51.99
greedy,2,0.00013,51.98
greedy,2,0.00012,51.97
greedy,2,0.00011,51.96
greedy,2,0.00011,51.96
greedy,2,0.0001,51.96
greedy,2,9.7e-05,51.96
greedy,2,9.2e-05,51.96
greedy,2,8.7e-05,51.96
greedy,2,8.3e-05,51.96
greedy,2,7.9e-05,51.96
greedy,2,7.5e-05,51.96
greedy,2,7.1e-05,51.96
greedy,2,6.8e-05,51.96
greedy,2,6.4e-05,51.96
greedy,2,6.1e-05,51.96
greedy,2,5.8e-05,51.96
greedy,2,5.5e-05,51.96
greedy,2,5.2e-05,51.96
greedy,2,5e-05,51.96
greedy,2,4.7e-05,51.96
greedy,2,4.5e-05,51.96
greedy,2,4.3e-05,51.96
greedy,2,4e-05,51.96
greedy,2,3.8e-05,51.96
greedy,2,3.7e-05,51.96
greedy,2,3.5e-05,51.96
greedy,2,3.3e-05,51.96
greedy,2,3.1e-05,51.96
greedy,2,3e-05,51.96
greedy,2,2.8e-05,51.95
greedy,2,2.7e-05,51.95
greedy,2,2.5e-05,51.95
greedy,2,2.4e-05,51.95
greedy,2,2.3e-05,51.95
greedy,2,2.2e-05,51.95
greedy,2,2.1e-05,51.95
greedy,2,2e-05,51.95
greedy,2,1.9e-05,51.95
greedy,2,1.8e-05,51.95
greedy,2,1.7e-05,51.95
greedy,2,1.6e-05,51.95
greedy,2,1.5e-05,51.95
greedy,2,1.5e-05,51.95
greedy,2,1.4e-05,51.95
greedy,2,1.3e-05,51.95
greedy,2,1.2e-05,51.95
greedy,2,1.2e-05,51.95
greedy,2,1.1e-05,51.95
greedy,2,1.1e-05,51.95
greedy,2,1e-05,51.95
greedy,2,9.6e-06,51.95
greedy,2,9.1e-06,51.93
greedy,2,8.7e-06,51.93
greedy,2,8.2e-06,51.93
greedy,2,7.8e-06,51.93
greedy,2,7.4e-06,51.93
greedy,2,0.0,51.93
greedy,3,0.00043,73.18
greedy,3,0.00041,66.52
greedy,3,0.00038,63.56
greedy,3,0.00037,61.49
greedy,3,0.00035,60.18
greedy,3,0.00033,59.46
greedy,3,0.00031,58.42
greedy,3,0.0003,57.54
greedy,3,0.00028,57.08
greedy,3,0.00027,56.57
greedy,3,0.00026,56.17
greedy,3,0.00024,55.57
greedy,3,0.00023,55.12
greedy,3,0.00022,54.92
greedy,3,0.00021,54.78
greedy,3,0.0002,54.71
greedy,3,0.00019,54.62
greedy,3,0.00018,54.58
greedy,3,0.00017,54.58
greedy,3,0.00016,54.57
greedy,3,0.00015,54.53
greedy,3,0.00015,54.51
greedy,3,0.00014,54.47
greedy,3,0.00013,54.45
greedy,3,0.00012,54.41
greedy,3,0.00012,54.4
greedy,3,0.00011,54.39
greedy,3,0.00011,54.38
greedy,3,0.0001,54.36
greedy,3,9.6e-05,54.35
greedy,3,9.2e-05,54.34
greedy,3,8.7e-05,54.33
greedy,3,8.3e-05,54.32
greedy,3,7.8e-05,54.29
greedy,3,7.5e-05,54.27
