type,seed,T,cost
normal,1,0.00092,72.58
normal,1,0.00087,68.46
normal,1,0.00083,66.62
normal,1,0.00079,65.02
normal,1,0.00075,64.1
normal,1,0.00071,62.86
normal,1,0.00067,62.53
normal,1,0.00064,61.9
normal,1,0.00061,61.03
normal,1,0.00058,60.9
normal,1,0.00055,60.49
normal,1,0.00052,59.88
normal,1,0.0005,59.64
normal,1,0.00047,59.63
normal,1,0.00045,58.76
normal,1,0.00042,58.0
normal,1,0.0004,57.66
normal,1,0.00038,57.45
normal,1,0.00036,57.53
normal,1,0.00035,57.1
normal,1,0.00033,56.7
normal,1,0.00031,56.29
normal,1,0.0003,56.1
normal,1,0.00028,55.5
normal,1,0.00027,55.49
normal,1,0.00025,54.94
normal,1,0.00024,54.77
normal,1,0.00023,54.61
normal,1,0.00022,54.53
normal,1,0.00021,54.04
normal,1,0.0002,53.72
normal,1,0.00019,53.69
normal,1,0.00018,53.48
normal,1,0.00017,53.23
normal,1,0.00016,53.07
normal,1,0.00015,53.07
normal,1,0.00014,52.93
normal,1,0.00014,52.76
normal,1,0.00013,52.6
normal,1,0.00012,52.44
normal,1,0.00012,52.25
normal,1,0.00011,52.25
normal,1,0.00011,52.18
normal,1,0.0001,52.06
normal,1,9.6e-05,51.89
normal,1,9.1e-05,51.74
normal,1,8.7e-05,51.65
normal,1,8.2e-05,51.59
normal,1,7.8e-05,51.54
normal,1,7.4e-05,51.48
normal,1,7.1e-05,51.43
normal,1,6.7e-05,51.39
normal,1,6.4e-05,51.31
normal,1,6.1e-05,51.24
normal,1,5.7e-05,51.21
normal,1,5.5e-05,51.11
normal,1,5.2e-05,51.04
normal,1,4.9e-05,50.94
normal,1,4.7e-05,50.91
normal,1,4.4e-05,50.91
normal,1,4.2e-05,50.88
normal,1,4e-05,50.85
normal,1,3.8e-05,50.82
normal,1,3.6e-05,50.78
normal,1,3.4e-05,50.76
normal,1,3.3e-05,50.75
normal,1,3.1e-05,50.73
normal,1,3e-05,50.72
normal,1,2.8e-05,50.72
normal,1,2.7e-05,50.72
normal,1,2.5e-05,50.72
normal,1,2.4e-05,50.71
normal,1,2.3e-05,50.72
normal,1,2.2e-05,50.71
normal,1,2.1e-05,50.71
normal,1,2e-05,50.7
normal,1,1.9e-05,50.71
normal,1,1.8e-05,50.7
normal,1,1.7e-05,50.69
normal,1,1.6e-05,50.69
normal,1,1.5e-05,50.7
normal,1,1.4e-05,50.7
normal,1,1.4e-05,50.69
normal,1,1.3e-05,50.68
normal,1,1.2e-05,50.68
normal,1,1.2e-05,50.68
normal,1,1.1e-05,50.68
normal,1,1.1e-05,50.68
normal,1,1e-05,50.68
normal,1,9.5e-06,50.68
normal,1,9.1e-06,50.68
normal,1,8.6e-06,50.68
normal,1,8.2e-06,50.68
normal,1,7.8e-06,50.68
normal,1,7.4e-06,50.67
normal,1,0.0,50.67
normal,2,0.00057,74.89
normal,2,0.00054,70.78
normal,2,0.00051,68.32
normal,2,0.00049,66.05
normal,2,0.00046,64.73
normal,2,0.00044,63.61
normal,2,0.00042,62.5
normal,2,0.0004,61.89
