type,seed,T,cost
greedy,1,0.0007,10.81
greedy,1,0.00067,10.07
greedy,1,0.00063,9.53
greedy,1,0.0006,9.07
greedy,1,0.00057,8.72
greedy,1,0.00054,8.52
greedy,1,0.00051,8.37
greedy,1,0.00049,8.23
greedy,1,0.00046,8.2
greedy,1,0.00044,8.17
greedy,1,0.00042,8.15
greedy,1,0.0004,8.14
greedy,1,0.00038,8.14
greedy,1,0.00036,8.14
greedy,1,0.00034,8.14
greedy,1,0.00032,8.13
greedy,1,0.00031,8.12
greedy,1,0.00029,8.11
greedy,1,0.00028,8.07
greedy,1,0.00026,8.07
greedy,1,0.00025,8.06
greedy,1,0.00024,8.06
greedy,1,0.00023,8.06
greedy,1,0.00022,8.06
greedy,1,0.0002,8.06
greedy,1,0.00019,8.06
greedy,1,0.00018,8.05
greedy,1,0.00018,8.05
greedy,1,0.00017,8.05
greedy,1,0.00016,8.05
greedy,1,0.00015,8.05
greedy,1,0.00014,8.05
greedy,1,0.00014,8.05
greedy,1,0.00013,8.05
greedy,1,0.00012,8.05
greedy,1,0.00012,8.05
greedy,1,0.00011,8.05
greedy,1,0.0001,8.05
greedy,1,0.0001,8.05
greedy,1,9.5e-05,8.05
greedy,1,9e-05,8.05
greedy,1,8.6e-05,8.05
greedy,1,8.1e-05,8.05
greedy,1,7.7e-05,8.05
greedy,1,7.3e-05,8.05
greedy,1,7e-05,8.05
greedy,1,6.6e-05,8.05
greedy,1,6.3e-05,8.05
greedy,1,6e-05,8.05
greedy,1,5.7e-05,8.05
greedy,1,5.4e-05,8.05
greedy,1,5.1e-05,8.05
greedy,1,4.9e-05,8.04
greedy,1,4.6e-05,8.03
greedy,1,4.4e-05,8.03
greedy,1,4.2e-05,8.03
greedy,1,4e-05,8.03
greedy,1,3.8e-05,8.03
greedy,1,3.6e-05,8.03
greedy,1,3.4e-05,8.03
greedy,1,3.2e-05,8.03
greedy,1,3.1e-05,8.03
greedy,1,2.9e-05,8.03
greedy,1,2.8e-05,8.03
greedy,1,0.0,8.03
greedy,2,0.00062,11.35
greedy,2,0.00059,10.26
greedy,2,0.00056,9.52
greedy,2,0.00053,9.04
greedy,2,0.00051,8.49
greedy,2,0.00048,8.25
greedy,2,0.00046,7.95
greedy,2,0.00043,7.76
greedy,2,0.00041,7.69
greedy,2,0.00039,7.64
greedy,2,0.00037,7.62
greedy,2,0.00035,7.6
greedy,2,0.00034,7.59
greedy,2,0.00032,7.57
greedy,2,0.0003,7.55
greedy,2,0.00029,7.55
greedy,2,0.00027,7.55
greedy,2,0.00026,7.55
greedy,2,0.00025,7.54
greedy,2,0.00023,7.54
greedy,2,0.00022,7.53
greedy,2,0.00021,7.51
greedy,2,0.0002,7.51
greedy,2,0.00019,7.51
greedy,2,0.00018,7.5
greedy,2,0.00017,7.5
greedy,2,0.00016,7.5
greedy,2,0.00016,7.49
greedy,2,0.00015,7.48
greedy,2,0.00014,7.48
greedy,2,0.00013,7.48
greedy,2,0.00013,7.48
greedy,2,0.00012,7.48
greedy,2,0.00011,7.48
greedy,2,0.00011,7.48
greedy,2,0.0001,7.48
greedy,2,9.8e-05,7.48
greedy,2,9.3e-05,7.48
greedy,2,8.8e-05,7.48
greedy,2,8.4e-05,7.48
greedy,2,8e-05,7.48
greedy,2,7.6e-05,7.48
greedy,2,7.2e-05,7.47
greedy,2,6.8e-05,7.47
greedy,2,6.5e-05,7.47
greedy,2,6.2e-05,7.47
greedy,2,5.9e-05,7.47
greedy,2,5.6e-05,7.47
greedy,2,5.3e-05,7.47
greedy,2,5e-05,7.47
greedy,2,4.8e-05,7.47
greedy,2,4.5e-05,7.47
greedy,2,4.3e-05,7.47
greedy,2,4.1e-05,7.47
greedy,2,3.9e-05,7.47
greedy,2,3.7e-05,7.47
greedy,2,3.5e-05,7.47
greedy,2,3.3e-05,7.47
greedy,2,3.2e-05,7.47
greedy,2,3e-05,7.47
greedy,2,2.9e-05,7.47
greedy,2,2.7e-05,7.47
greedy,2,0.0,7.47
greedy,3,0.00064,10.73
greedy,3,0.00061,9.76
greedy,3,0.00058,9.35
greedy,3,0.00055,9.13
greedy,3,0.00052,8.98
greedy,3,0.00049,8.89
greedy,3,0.00047,8.79
greedy,3,0.00045,8.57
greedy,3,0.00042,8.31
greedy,3,0.0004,8.23
greedy,3,0.00038,8.21
greedy,3,0.00036,8.15
greedy,3,0.00035,8.13
greedy,3,0.00033,8.12
greedy,3,0.00031,8.11
greedy,3,0.0003,8.11
greedy,3,0.00028,8.1
greedy,3,0.00027,8.1
greedy,3,0.00025,8.09
greedy,3,0.00024,8.09
greedy,3,0.00023,8.09
greedy,3,0.00022,8.09
greedy,3,0.00021,8.07
greedy,3,0.0002,8.07
greedy,3,0.00019,8.07
greedy,3,0.00018,8.07
greedy,3,0.00017,8.07
greedy,3,0.00016,8.07
greedy,3,0.00015,8.07
greedy,3,0.00014,8.07
greedy,3,0.00014,8.07
greedy,3,0.00013,8.07
greedy,3,0.00012,8.07
greedy,3,0.00012,8.07
greedy,3,0.00011,8.07
greedy,3,0.00011,8.07
greedy,3,0.0001,8.07
greedy,3,9.6e-05,8.07
greedy,3,9.1e-05,8.07
greedy,3,8.6e-05,8.07
greedy,3,8.2e-05,8.07
greedy,3,7.8e-05,8.07
greedy,3,7.4e-05,8.07
greedy,3,7e-05,8.07
greedy,3,6.7e-05,8.07
greedy,3,6.4e-05,8.07
greedy,3,6e-05,8.07
greedy,3,5.7e-05,8.07
greedy,3,5.4e-05,8.07
greedy,3,5.2e-05,8.07
greedy,3,4.9e-05,8.06
greedy,3,4.7e-05,8.06
greedy,3,4.4e-05,8.06
