type,seed,T,cost
greedy,1,0.00041,144.91
greedy,1,0.00039,128.77
greedy,1,0.00037,119.47
greedy,1,0.00035,113.26
greedy,1,0.00034,108.81
greedy,1,0.00032,103.96
greedy,1,0.0003,100.42
greedy,1,0.00029,97.5
greedy,1,0.00027,95.63
greedy,1,0.00026,94.55
greedy,1,0.00025,93.82
greedy,1,0.0002,93.38
greedy,1,0.00016,93.02
greedy,1,0.00013,92.64
greedy,1,0.0001,92.4
greedy,1,8.1e-05,92.33
greedy,1,6.5e-05,92.16
greedy,1,5.2e-05,92.07
greedy,1,4.2e-05,92.02
greedy,1,3.3e-05,91.96
greedy,1,2.7e-05,91.9
greedy,1,2.1e-05,91.88
greedy,1,1.7e-05,91.87
greedy,1,1.4e-05,91.86
greedy,1,1.1e-05,91.84
greedy,1,8.7e-06,91.84
greedy,1,7e-06,91.84
greedy,1,5.6e-06,91.84
greedy,1,0.0,91.84
greedy,2,0.00057,150.91
greedy,2,0.00054,137.43
greedy,2,0.00051,130.84
greedy,2,0.00049,124.72
greedy,2,0.00046,119.08
greedy,2,0.00044,114.32
greedy,2,0.00042,111.33
greedy,2,0.0004,108.36
greedy,2,0.00038,105.77
greedy,2,0.00036,103.96
greedy,2,0.00034,102.92
greedy,2,0.00027,102.22
greedy,2,0.00022,101.57
greedy,2,0.00017,101.12
greedy,2,0.00014,100.69
greedy,2,0.00011,100.51
greedy,2,8.9e-05,100.39
greedy,2,7.1e-05,100.28
greedy,2,5.7e-05,100.04
greedy,2,4.6e-05,99.92
greedy,2,3.6e-05,99.89
greedy,2,2.9e-05,99.87
greedy,2,2.3e-05,99.87
greedy,2,1.9e-05,99.87
greedy,2,1.5e-05,99.87
greedy,2,1.2e-05,99.81
greedy,2,9.6e-06,99.74
greedy,2,7.6e-06,99.67
greedy,2,6.1e-06,99.64
greedy,2,4.9e-06,99.58
greedy,2,0.0,99.57
greedy,3,0.00051,146.25
greedy,3,0.00049,133.95
greedy,3,0.00046,126.02
greedy,3,0.00044,120.42
greedy,3,0.00042,115.85
greedy,3,0.0004,111.76
greedy,3,0.00038,108.25
greedy,3,0.00036,104.99
greedy,3,0.00034,102.65
greedy,3,0.00032,101.41
greedy,3,0.00031,100.16
greedy,3,0.00029,99.45
greedy,3,0.00023,99.05
greedy,3,0.00019,98.69
greedy,3,0.00015,98.36
greedy,3,0.00012,98.25
greedy,3,9.6e-05,98.05
greedy,3,7.7e-05,97.96
greedy,3,6.1e-05,97.86
greedy,3,4.9e-05,97.81
greedy,3,3.9e-05,97.77
greedy,3,3.1e-05,97.71
greedy,3,2.5e-05,97.62
greedy,3,2e-05,97.59
greedy,3,1.6e-05,97.58
greedy,3,1.3e-05,97.58
greedy,3,1e-05,97.58
greedy,3,8.2e-06,97.58
greedy,3,6.6e-06,97.58
greedy,3,5.3e-06,97.58
greedy,3,0.0,97.58
