type,seed,T,cost
normal,1,0.00043,144.82
normal,1,0.00041,132.82
normal,1,0.00038,124.21
normal,1,0.00037,120.17
normal,1,0.00035,116.59
normal,1,0.00033,114.55
normal,1,0.00031,112.65
normal,1,0.0003,109.45
normal,1,0.00028,107.16
normal,1,0.00027,105.34
normal,1,0.00026,103.88
normal,1,0.00024,102.66
normal,1,0.00023,101.61
normal,1,0.00022,100.62
normal,1,0.00021,100.11
normal,1,0.0002,99.57
normal,1,0.00019,99.02
normal,1,0.00018,98.08
normal,1,0.00017,97.65
normal,1,0.00016,97.39
normal,1,0.00015,96.61
normal,1,0.00015,96.45
normal,1,0.00014,96.09
normal,1,0.00013,95.98
normal,1,0.00012,95.76
normal,1,0.00012,95.58
normal,1,0.00011,95.27
normal,1,0.00011,95.1
normal,1,0.0001,94.93
normal,1,9.6e-05,94.64
normal,1,9.2e-05,94.51
normal,1,8.7e-05,94.4
normal,1,8.3e-05,94.34
normal,1,7.8e-05,94.33
normal,1,7.5e-05,94.26
normal,1,7.1e-05,94.19
normal,1,6.7e-05,94.17
normal,1,5.4e-05,94.11
normal,1,5.1e-05,94.02
normal,1,4.1e-05,93.98
normal,1,3.3e-05,93.92
normal,1,2.6e-05,93.89
normal,1,2.1e-05,93.86
normal,1,1.7e-05,93.82
normal,1,1.3e-05,93.78
normal,1,1.1e-05,93.78
normal,1,8.6e-06,93.77
normal,1,6.9e-06,93.77
normal,1,5.5e-06,93.76
normal,1,0.0,93.76
normal,2,0.00051,151.52
normal,2,0.00048,136.35
normal,2,0.00046,130.28
normal,2,0.00044,126.29
normal,2,0.00041,123.32
normal,2,0.00039,120.65
normal,2,0.00037,118.31
normal,2,0.00035,115.78
normal,2,0.00034,113.48
normal,2,0.00032,110.87
normal,2,0.0003,109.16
normal,2,0.00029,108.09
normal,2,0.00027,106.69
normal,2,0.00026,105.46
normal,2,0.00025,104.27
normal,2,0.00024,103.0
normal,2,0.00022,102.37
normal,2,0.00021,102.27
normal,2,0.0002,101.82
normal,2,0.00019,100.99
normal,2,0.00018,100.73
normal,2,0.00017,100.6
normal,2,0.00016,100.5
normal,2,0.00016,100.29
normal,2,0.00015,99.9
normal,2,0.00014,99.45
normal,2,0.00013,99.28
normal,2,0.00013,99.14
normal,2,0.00012,98.92
normal,2,0.00011,98.7
normal,2,0.00011,98.7
normal,2,0.0001,98.43
normal,2,9.8e-05,98.17
normal,2,9.3e-05,98.05
normal,2,8.9e-05,97.98
normal,2,8.4e-05,97.71
normal,2,8e-05,97.64
normal,2,7.6e-05,97.57
normal,2,7.2e-05,97.52
normal,2,6.9e-05,97.47
normal,2,6.5e-05,97.43
normal,2,6.2e-05,97.4
normal,2,5e-05,97.35
normal,2,4e-05,97.26
normal,2,3.2e-05,97.07
normal,2,2.5e-05,97.01
normal,2,2e-05,96.98
normal,2,1.6e-05,96.93
normal,2,1.3e-05,96.89
normal,2,1e-05,96.89
normal,2,8.3e-06,96.88
normal,2,6.7e-06,96.88
normal,2,5.3e-06,96.87
normal,2,0.0,96.87
normal,3,0.0005,146.99
normal,3,0.00047,137.28
normal,3,0.00045,131.51
normal,3,0.00043,126.68
normal,3,0.00041,121.54
normal,3,0.00039,117.86
normal,3,0.00037,114.36
normal,3,0.00035,111.01
normal,3,0.00033,109.08
normal,3,0.00031,106.87
normal,3,0.0003,105.08
normal,3,0.00028,103.16
normal,3,0.00027,101.55
normal,3,0.00026,100.56
normal,3,0.00024,99.25
normal,3,0.00023,97.9
normal,3,0.00022,96.68
normal,3,0.00021,95.82
normal,3,0.0002,95.06
normal,3,0.00019,94.26
normal,3,0.00018,93.11
normal,3,0.00017,92.67
normal,3,0.00016,92.24
normal,3,0.00015,91.75
normal,3,0.00015,91.46
normal,3,0.00014,91.04
normal,3,0.00013,90.1
normal,3,0.00013,89.68
normal,3,0.00012,89.39
normal,3,0.00011,89.24
normal,3,0.00011,88.9
normal,3,0.0001,88.63
normal,3,9.7e-05,88.35
normal,3,9.2e-05,88.13
normal,3,8.7e-05,88.03
normal,3,8.3e-05,87.73
normal,3,7.9e-05,87.57
normal,3,7.5e-05,87.52
normal,3,7.1e-05,87.45
normal,3,5.7e-05,87.42
normal,3,5.4e-05,87.36
normal,3,4.3e-05,87.33
normal,3,3.5e-05,87.24
normal,3,2.8e-05,87.16
normal,3,2.2e-05,87.11
normal,3,1.8e-05,87.05
normal,3,1.4e-05,87.04
normal,3,1.1e-05,86.98
normal,3,9.1e-06,86.97
normal,3,7.3e-06,86.97
normal,3,5.8e-06,86.96
normal,3,0.0,86.93
