benchmark,config,n_seeds,avg_delay_ns,avg_wirelength,avg_iterations
alu4,acc_fac_0.5,3,5.0295,6544,19.7
alu4,acc_fac_2.0,3,5.0288,6575,15.3
alu4,astar_fac_1.0,3,5.0310,6539,17.3
alu4,astar_fac_2.0,3,5.1403,6503,20.0
alu4,baseline,3,5.0335,6500,17.3
alu4,bb_factor_1,3,5.1139,6524,19.0
alu4,bb_factor_10,3,5.1927,6583,19.3
alu4,convergence_100,3,5.0321,6488,28.7
alu4,convergence_20,3,5.0321,6488,28.7
alu4,crit_exp_0.5,3,5.0647,6663,19.0
alu4,crit_exp_2.0,3,5.0869,6532,15.7
alu4,init_pres_fac_0.25,3,5.0769,6596,20.3
alu4,init_pres_fac_1.0,3,5.0497,6591,15.3
alu4,max_crit_0.5,3,5.4970,6286,14.0
alu4,max_crit_1.0,3,5.0251,6729,19.0
alu4,pres_fac_mult_1.1,3,5.0372,6528,33.7
alu4,pres_fac_mult_2.0,3,5.2247,6709,9.7
ex4p,acc_fac_0.5,3,2.9624,1305,17.3
ex4p,acc_fac_2.0,3,2.9620,1304,13.3
ex4p,astar_fac_1.0,3,2.9681,1291,14.3
ex4p,astar_fac_2.0,3,2.9884,1270,17.0
ex4p,baseline,3,2.9665,1280,15.3
ex4p,bb_factor_1,3,3.0148,1290,13.7
ex4p,bb_factor_10,3,2.9665,1280,14.7
ex4p,convergence_100,3,2.9613,1283,25.0
ex4p,convergence_20,3,2.9613,1283,25.0
ex4p,crit_exp_0.5,3,2.9705,1311,16.3
ex4p,crit_exp_2.0,3,2.9673,1256,12.3
ex4p,init_pres_fac_0.25,3,2.9713,1287,16.3
ex4p,init_pres_fac_1.0,3,2.9693,1282,12.3
ex4p,max_crit_0.5,3,3.0640,1231,10.7
ex4p,max_crit_1.0,3,2.9746,1289,16.3
ex4p,pres_fac_mult_1.1,3,2.9665,1267,28.3
ex4p,pres_fac_mult_2.0,3,3.0122,1280,8.3
diffeq1,acc_fac_0.5,3,23.6723,10609,31.7
diffeq1,acc_fac_2.0,3,22.7688,10596,19.7
diffeq1,astar_fac_1.0,3,23.3600,10611,24.3
diffeq1,astar_fac_2.0,3,23.0796,11244,25.0
diffeq1,baseline,3,22.6686,10567,23.7
diffeq1,bb_factor_1,3,23.6731,10960,34.7
diffeq1,bb_factor_10,3,23.1837,10625,21.0
diffeq1,convergence_100,3,22.6686,10567,31.7
diffeq1,convergence_20,3,22.6686,10567,31.7
diffeq1,crit_exp_0.5,3,23.1679,10783,24.7
diffeq1,crit_exp_2.0,3,23.3786,10359,22.3
diffeq1,init_pres_fac_0.25,3,23.1002,10552,26.7
diffeq1,init_pres_fac_1.0,3,23.4840,10565,25.3
diffeq1,max_crit_0.5,3,23.4240,9770,13.7
diffeq1,max_crit_1.0,1,22.7015,10712,28.0
diffeq1,pres_fac_mult_1.1,2,22.5954,10030,38.5
diffeq1,pres_fac_mult_2.0,3,23.7283,10933,23.7
sha,acc_fac_0.5,3,14.8552,14430,20.3
sha,acc_fac_2.0,3,14.8239,15122,14.3
sha,astar_fac_1.0,3,14.8131,14395,16.7
sha,astar_fac_2.0,3,14.9117,14920,19.3
sha,baseline,3,14.8296,14488,16.3
sha,bb_factor_1,3,14.8245,14499,17.0
sha,bb_factor_10,3,14.8296,14440,17.0
sha,convergence_100,3,14.8296,14488,17.3
sha,convergence_20,3,14.8296,14488,17.3
sha,crit_exp_0.5,3,14.8353,14622,18.7
sha,crit_exp_2.0,3,14.8292,14368,15.3
sha,init_pres_fac_0.25,3,14.8308,14365,18.3
sha,init_pres_fac_1.0,3,14.8382,14652,15.3
sha,max_crit_0.5,3,15.4254,14451,13.0
sha,max_crit_1.0,2,14.9612,14268,16.5
sha,pres_fac_mult_1.1,3,14.8240,14274,27.3
sha,pres_fac_mult_2.0,3,14.8504,14967,10.3
